longitude,latitude,max_temp,min_temp
-85.0814,35.9508,29.4,21.7
-100.4936,40.6742,40.6,17.2
-103.2153,38.0636,37.2,21.7
-95.3247,43.4483,26.7,21.1
-98.0919,46.1458,25,17.8
-95.7483,43.4047,25.6,19.4
-101.8606,43.9611,30.6,18.3
-92.6661,44.2992,24.4,20
-96.3703,39.2142,40,23.9
-89.1931,37.9878,35.6,21.1
-89.6839,39.8447,33.9,22.2
-96.5917,43.3056,33.3,21.1
-98.13,39.0294,39.4,20.6
-95.1467,43.1653,34.4,20
-98.3136,40.9611,37.2,22.8
-92.5644,43.7047,22.2,18.9
-102.5167,40.8592,37.2,16.1
-105.4661,38.1311,25.6,12.8
-106.73,36.5928,25.6,12.8
-84.2186,39.9061,33.9,19.4
-87.7775,41.7372,34.4,20.6
-94.36,39.8914,37.8,23.9
-103.5931,41.8706,30,16.7
-102.8967,42.1103,35.6,17.2
-103.6933,38.0392,34.4,20.6
-91.4378,43.9994,32.2,19.4
-101.6706,41.2097,36.7,17.8
-91.0958,42.7858,36.1,20
-109.075,37.3858,27.2,16.7
-91.9347,34.175,37.8,22.2
-106.7597,32.2822,33.9,22.8
-90.3683,34.7281,36.7,19.4
-87.685,40.4664,35.6,19.4
-93.3019,43.6064,25.6,18.9
-89.8214,34.6989,35.6,20
-89.9664,37.3036,35.6,21.1
-101.0344,40.5233,38.3,16.1
-93.1331,39.4247,35,24.4
-97.2128,38.9267,38.3,22.8
-94.9233,39.7736,36.1,21.1
-98.6422,47.5808,25,16.7
-85.1314,36.0147,29.4,18.9
-107.2278,46.2942,22.8,18.9
-91.1919,39.9369,37.8,22.2
-103.1417,40.155,36.7,15
-90.2639,41.7947,36.7,21.1
-91.3339,40.6222,36.1,22.2
-97.6508,39.5514,35.6,22.8
-103.2372,43.1878,28.3,17.8
-97.5242,44.0122,28.3,20
-100.3908,48.3706,20,16.1
-86.2833,42.4014,31.1,16.7
-93.1594,34.9553,37.8,21.7
-95.2333,35.8667,37.2,25
-92.6717,43.0603,35.6,19.4
-106.2792,40.7442,23.9,10
-97.1328,41.2492,34.4,20.6
-103.5122,38.0494,36.1,19.4
-106.0353,39.6261,26.7,3.9
